"p_00","p_01","p_02","p_10","p_11","p_12","p_20","p_21","p_22"
0.977826495751613,0.0109044081700183,0.0112690960783684,0.0217921088096003,0.95581781191853,0.02239007927187,0,0,1
0.976613458262242,0.0114903617141545,0.0118961800236038,0.0229623358123349,0.953411591675107,0.0236260725125583,0,0,1
0.975402375880151,0.0120742512048221,0.0125233729150267,0.0241283682283619,0.951010421104754,0.0248612106668839,0,0,1
0.974193244683526,0.0126560804109789,0.0131506749054956,0.0252902154308445,0.948614294250468,0.0260954903186877,0,0,1
0.972986060756449,0.013235853102349,0.0137780861412016,0.0264478867823331,0.946223205145302,0.0273289080723652,0,0,1
0.97178082018891,0.0138135730493937,0.0144056067616962,0.0276013916347467,0.94383714781244,0.0285614605528135,0,0,1
0.970577519076802,0.0143892440232817,0.0150332368999167,0.0287507393293548,0.941456116265267,0.0297931444053785,0,0,1
0.969376153521927,0.0149628697958595,0.0156609766822136,0.0298959391967597,0.939080104507438,0.0310239562958024,0,0,1
0.968176719632001,0.0155344541396218,0.0162888262283766,0.031037000556878,0.936709106532951,0.0322538929101705,0,0,1
0.966979213520656,0.0161040008276823,0.0169167856516615,0.0321739327189237,0.934343116326217,0.0334829509548588,0,0,1
0.96578363130744,0.0166715136337441,0.0175448550588162,0.0333067449813894,0.931982127862129,0.0347111271564812,0,0,1
0.964589969117822,0.0172369963320709,0.0181730345501073,0.0344354466320298,0.929626135106134,0.0359384182618363,0,0,1
0.963398223083196,0.0178004526974574,0.0188013242193467,0.0355600469478436,0.927275132014301,0.0371648210378552,0,0,1
0.962208389340882,0.0183618865052002,0.0194297241539178,0.0366805551950563,0.924929112533395,0.0383903322715483,0,0,1
0.961020464034129,0.018921301531069,0.0200582344348017,0.0377969806291031,0.922588070600944,0.0396149487699528,0,0,1
0.959834443312119,0.0194787015512776,0.0206868551366038,0.0389093324946117,0.920252000145309,0.0408386673600797,0,0,1
0.958650323329965,0.020034090342455,0.0213155863275798,0.0400176200253851,0.917920895085754,0.0420614848888612,0,0,1
0.957468100248721,0.0205874716816164,0.0219444280696621,0.0411218524443852,0.915594749332517,0.043283398223098,0,0,1
0.956287770235379,0.021138849346135,0.0225733804184861,0.0422220389637154,0.913273556786878,0.0445044042494063,0,0,1
0.955109329462871,0.0216882271137128,0.0232024434234161,0.0433181887846046,0.91095731134123,0.0457244998741651,0,0,1
0.953932774110076,0.0222356087623523,0.0238316171275718,0.04441031109739,0.908646006879146,0.0469436820234636,0,0,1
0.952758100361818,0.0227809980703282,0.0244609015678542,0.045498415081501,0.906339637275451,0.0481619476430484,0,0,1
0.95158530440887,0.0233243988161585,0.0250902967749718,0.0465825099054431,0.904038196396286,0.0493792936982707,0,0,1
0.950414382447957,0.0238658147785768,0.0257198027734666,0.0476626047267809,0.901741678099185,0.0505957171740337,0,0,1
0.949245330681756,0.0244052497365036,0.0263494195817402,0.0487387086921228,0.899450076233138,0.0518112150747396,0,0,1
0.948078145318902,0.0249427074690181,0.0269791472120798,0.0498108309371047,0.897163384638658,0.0530257844242372,0,0,1
