"p_00","p_01","p_02","p_10","p_11","p_12","p_20","p_21","p_22"
0.953363656642253,0.0227618340654003,0.0238745092923471,0.0942568236620771,0.904512462445106,0.00123071389281673,0,0,1
0.952220973980141,0.0233050990339024,0.0244739269859564,0.096483788096227,0.902224356887028,0.00129185501674523,0,0,1
0.951080836514093,0.0238464370831988,0.0250727264027081,0.0987017020611645,0.899943896314281,0.00135440162455457,0,0,1
0.949943236415231,0.0243858546829346,0.0256709089018347,0.100910596853881,0.897671054643564,0.00141834850255487,0,0,1
0.948808165880793,0.0249233582807565,0.0262684758384505,0.103110503665379,0.895405805880752,0.00148369045386904,0,0,1
0.947675617134047,0.0254589543023881,0.0268654285635652,0.105301453581028,0.893148124120593,0.00155042229837925,0,0,1
0.946545582424199,0.0259926491517049,0.0274617684240964,0.107483477580927,0.890897983546399,0.00161853887267363,0,0,1
0.945418054026307,0.0265244492108097,0.0280574967628832,0.109656606540261,0.888655358429746,0.0016880350299931,0,0,1
0.944293024241194,0.0270543608401073,0.0286526149186988,0.111820871229657,0.886420223130164,0.00175890564017839,0,0,1
0.943170485395358,0.0275823903783787,0.0292471242262637,0.113976302315538,0.884192552094845,0.00183114558961723,0,0,1
0.942050429840886,0.0281085441428556,0.0298410260162586,0.116122930360477,0.881972319858331,0.0019047497811917,0,0,1
0.940932849955369,0.0286328284292943,0.0304343216153371,0.118260785823551,0.879759501042223,0.00197971313422573,0,0,1
0.939817738141812,0.0291552495120494,0.0310270123461387,0.120389899060693,0.877554070354874,0.00205603058443283,0,0,1
0.938705086828551,0.0296758136441471,0.0316190995273017,0.122510300325037,0.875356002591099,0.0021336970838639,0,0,1
0.937594888469165,0.0301945270573588,0.0322105844734757,0.124622019767275,0.87316527263187,0.00221270760085529,0,0,1
0.936487135542392,0.0307113959622736,0.0328014684953345,0.126725087435996,0.870981855444027,0.00229305711997697,0,0,1
0.93538182055204,0.0312264265483714,0.0333917528995887,0.128819533278039,0.86880572607998,0.00237474064198086,0,0,1
0.934278936026907,0.031739624984095,0.0339814389889984,0.130905387138838,0.866636859677412,0.0024577531837494,0,0,1
0.933178474520692,0.0322509974169225,0.0345705280623858,0.132982678762763,0.864475231458993,0.0025420897782442,0,0,1
0.932080428611913,0.0327605499734392,0.0351590214146476,0.135051437793462,0.862320816732083,0.00262774547445488,0,0,1
0.930984790903823,0.0332682887594094,0.0357469203367678,0.137111693774211,0.860173590888441,0.00271471533734807,0,0,1
0.929891554024322,0.0337742198598477,0.0363342261158298,0.139163476148244,0.85803352940394,0.00280299444781665,0,0,1
0.928800710625881,0.0342783493390901,0.0369209400350292,0.1412068142591,0.855900607838271,0.002892577902629,0,0,1
0.927712253385449,0.0347806832408654,0.0375070633736861,0.14324173735096,0.853774801834662,0.00298346081437852,0,0,1
0.926626175004377,0.0352812275883653,0.0380925974072571,0.14526827456898,0.851656087119586,0.00307563831143334,0,0,1
0.925542468208336,0.0357799883843156,0.0386775434073483,0.147286454959635,0.849544439502479,0.00316910553788605,0,0,1
0.924461125747228,0.0362769716110456,0.0392619026417268,0.149296307471044,0.847439834875452,0.00326385765350375,0,0,1
0.923382140395107,0.0367721832305587,0.0398456763743337,0.151297860953314,0.845342249213008,0.00335988983367816,0,0,1
0.922305504950102,0.037265629184602,0.0404288658652958,0.153291144158862,0.843251658571762,0.0034571972693759,0,0,1
0.921231212234327,0.0377573153947357,0.0410114723709376,0.155276185742758,0.841168039090153,0.00355577516708898,0,0,1
0.920159255093804,0.0382472477624022,0.0415934971437942,0.157253014263045,0.83909136698817,0.00365561874878539,0,0,1
0.919089626398382,0.0387354321689956,0.0421749414326225,0.159221658181074,0.837021618567066,0.00375672325185987,0,0,1
0.918022319041656,0.03922187447593,0.0427558064824138,0.161182145861833,0.834958770209082,0.00385908392908486,0,0,1
0.916957325940886,0.0397065805247082,0.0433360935344057,0.163134505574267,0.832902798377171,0.00396269604856155,0,0,1
0.915894640036916,0.0401895561369903,0.0439158038260938,0.165078765491613,0.830853679614716,0.00406755489367115,0,0,1
0.914834254294095,0.0406708071146612,0.044494938591244,0.167014953691718,0.828811390545255,0.00417365576302627,0,0,1
0.913776161700197,0.0411503392398989,0.0450734990599042,0.168943098157366,0.826775907872211,0.00428099397042249,0,0,1
0.912720355266342,0.0416281582752418,0.0456514864584162,0.170863226776599,0.824747208378611,0.00438956484479003,0,0,1
